URL,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Lainnya,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,IMB
https://www.rumah123.com/properti/tangerang/hos16543378/,Rp 850 Juta,"Daan Mogot, Tangerang",3.0,2.0,57 m²,114 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,1.0,,,
https://www.rumah123.com/properti/tangerang/hos18878698/,Rp 550 Juta,"Cikupa Citra Raya, Tangerang",3.0,2.0,81 m²,70 m²,SHM,1300 Watt,,Baru,Informasi tambahan tidak tersedia,2.0,,,2.0,
https://www.rumah123.com/properti/tangerang/hos17665442/,"Rp 1,75 Miliar","Gading Serpong Scientia Garden, Tangerang",2.0,2.0,77 m²,73 m²,Lainnya,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos18344358/,Rp 9 Miliar,"BSD Green Cove, Tangerang",4.0,4.0,249 m²,416 m²,Lainnya,Lainnya,2.0,Baru,Informasi tambahan tidak tersedia,,2.0,2.0,,
https://www.rumah123.com/properti/tangerang/hos19182043/,"Rp 3,2 Miliar","BSD Vanya Park, Tangerang",4.0,3.0,108 m²,130 m²,PPJB,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,,,,Ada
https://www.rumah123.com/properti/tangerang/hos18967357/,"Rp 3,5 Miliar","Metro Permata, Tangerang",3.0,2.0,210 m²,180 m²,SHM,6600 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,,,,
https://www.rumah123.com/properti/tangerang/hos19008285/,Rp 950 Juta,"Taman Royal, Tangerang",2.0,1.0,84 m²,66 m²,SHM,2200 Watt,1.0,,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos18498557/,"Rp 3,5 Miliar","BSD Avani, Tangerang",4.0,4.0,225 m²,150 m²,SHM,5500 Watt,2.0,Sudah Renovasi,Informasi tambahan tidak tersedia,1.0,,1.0,,
https://www.rumah123.com/properti/tangerang/hos19134240/,"Rp 1,2 Miliar","Duta Garden, Tangerang",2.0,2.0,102 m²,100 m²,SHM,2200 Watt,1.0,Sudah Renovasi,Informasi tambahan tidak tersedia,,,1.0,1.0,
https://www.rumah123.com/properti/tangerang/hos19064250/,"Rp 2,9 Miliar","Gading Serpong Andalucia, Tangerang",3.0,4.0,144 m²,150 m²,SHM,3500 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19127009/,Rp 21 Miliar,"Gading Serpong Pondok Hijau Golf, Tangerang",4.0,5.0,504 m²,1000 m²,SHM,5500 Watt,4.0,Bagus,Informasi tambahan tidak tersedia,2.0,2.0,2.0,2.0,
https://www.rumah123.com/properti/tangerang/hos19123310/,"Rp 3,7 Miliar","Modernland, Tangerang",4.0,3.0,220 m²,600 m²,SHM,7700 Watt,3.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos16489315/,"Rp 2,1 Miliar","BSD Alegria, Tangerang",3.0,2.0,84 m²,110 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,,,,
https://www.rumah123.com/properti/tangerang/hos18725495/,Rp 900 Juta,"Batu Ceper, Tangerang",3.0,1.0,90 m²,90 m²,SHM,2200 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19021918/,"Rp 2,5 Miliar","Pesanggrahan, Tangerang",5.0,4.0,236 m²,170 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,2.0,,,,
https://www.rumah123.com/properti/tangerang/hos17986167/,"Rp 1,6 Miliar","Gading Serpong La Bella Village, Tangerang",3.0,2.0,90 m²,65 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19032704/,"Rp 2,1 Miliar","BSD, Tangerang",3.0,2.0,84 m²,88 m²,Lainnya,Lainnya,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19177892/,"Rp 3,55 Miliar","Cipondoh, Tangerang",3.0,4.0,144 m²,200 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,2.0,
https://www.rumah123.com/properti/tangerang/hos19031201/,"Rp 9,7 Miliar","Gading Serpong, Tangerang",4.0,3.0,238 m²,268 m²,Lainnya,4400 Watt,3.0,Bagus,Informasi tambahan tidak tersedia,2.0,1.0,1.0,1.0,
https://www.rumah123.com/properti/tangerang/hos19086307/,"Rp 1,8 Miliar","Gading Serpong, Tangerang",3.0,3.0,63 m²,100 m²,SHM,3500 Watt,2.0,Baru,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19173738/,Rp 1 Miliar,"Gading Serpong, Tangerang",2.0,2.0,40 m²,53 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos18973059/,"Rp 6,38 Miliar","Gading Serpong, Tangerang",4.0,3.0,180 m²,237 m²,SHM,6600 Watt,2.0,Baru,Informasi tambahan tidak tersedia,2.0,,,,
https://www.rumah123.com/properti/tangerang/hos19219756/,"Rp 4,95 Miliar","BSD City, Tangerang",4.0,3.0,187 m²,230 m²,SHM,Lainnya,3.0,Bagus,Informasi tambahan tidak tersedia,2.0,,,,
https://www.rumah123.com/properti/tangerang/hos18179360/,"Rp 6,6 Miliar","Gading Serpong, Tangerang",4.0,4.0,144 m²,248 m²,Lainnya,5500 Watt,2.0,Baru,Informasi tambahan tidak tersedia,2.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19109642/,"Rp 3,15 Miliar","BSD, Tangerang",4.0,3.0,183 m²,162 m²,SHM,2200 Watt,1.0,Baru,Informasi tambahan tidak tersedia,2.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19124611/,"Rp 4,15 Miliar","BSD City, Tangerang",3.0,5.0,119 m²,218 m²,Lainnya,Lainnya,3.0,Bagus,Informasi tambahan tidak tersedia,,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19210274/,"Rp 6,5 Miliar","BSD City, Tangerang",4.0,4.0,120 m²,195 m²,SHM,4400 Watt,3.0,Bagus,Informasi tambahan tidak tersedia,2.0,1.0,1.0,,Ada
https://www.rumah123.com/properti/tangerang/hos19197090/,"Rp 1,6 Miliar","Lippo Karawaci, Tangerang",3.0,3.0,97 m²,88 m²,PPJB,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18894698/,"Rp 1,45 Miliar","Gading Serpong, Tangerang",3.0,2.0,83 m²,60 m²,Lainnya,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19068474/,"Rp 2,45 Miliar","Gading Serpong, Tangerang",4.0,2.0,119 m²,130 m²,SHM,Lainnya,2.0,Sudah Renovasi,Informasi tambahan tidak tersedia,1.0,1.0,,,
https://www.rumah123.com/properti/tangerang/hos18784160/,"Rp 1,5 Miliar","Gading Serpong, Tangerang",3.0,2.0,52 m²,70 m²,Lainnya,Lainnya,2.0,Sudah Renovasi,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos18747673/,"Rp 2,48 Miliar","Alam Sutera, Tangerang",3.0,3.0,112 m²,117 m²,SHM,7700 Watt,2.0,Baru,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
https://www.rumah123.com/properti/tangerang/hos18747568/,"Rp 1,41 Miliar","Alam Sutera, Tangerang",3.0,2.0,66 m²,74 m²,SHM,4400 Watt,2.0,Baru,Informasi tambahan tidak tersedia,1.0,,,1.0,
https://www.rumah123.com/properti/tangerang/hos18747633/,"Rp 2,03 Miliar","Alam Sutera, Tangerang",3.0,3.0,98 m²,98 m²,SHM,4400 Watt,2.0,Baru,Informasi tambahan tidak tersedia,2.0,1.0,1.0,2.0,
https://www.rumah123.com/properti/tangerang/hos18747602/,"Rp 1,73 Miliar","Alam Sutera, Tangerang",3.0,3.0,84 m²,87 m²,SHM,4400 Watt,2.0,Baru,Informasi tambahan tidak tersedia,2.0,,,2.0,
